url,bill_title
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B1U9R1U0W1S1M1E0V3Y8D4X6M7F1O4,[2022861] 국군부대의 소말리아 아덴만 해역 파견연장 동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B1V9U0T8V2A0S1F4B3N8Y3G4J0K9M3,[2022038] 세원잠식 및 소득이전 방지 목적의 조세조약 관련 조치 이행을 위한 다자협약 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B1V8U0M4P0Q6H1I0X2E9C4J8D0E0M5,[2012937] 2018년도 정보통신진흥기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2E0Q0P5K1J4V1V8O1Q1J5Y2C1E5W0,"[2024992] 화재예방, 소방시설 설치·유지 및 안전관리에 관한 법률 일부개정법률안(대안)(행정안전위원장)입법예고중"
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2D0E0L3E0G3E1E5B4U5D1Y9F0J3E6,[2024898] 외식산업 진흥법 일부개정법률안(대안)(농림축산식품해양수산위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B1W9G0P5Q3Z1M1W1F2Y8C5F8J5C6A7,[2020739] 2018회계연도 예비비지출 승인의 건(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2O0N0B3U0G3F1N5E5T9Y1J9B7L1A9,[2024896] 수상레저안전법 일부개정법률안(대안)(농림축산식품해양수산위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2I0A0I4B1S6T1M4C3Z1I2N1Y3C3K3,[2024844] 2020년도 국유재산관리기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C1B9E0N9Y0M4E1N5A0L6Z1R8H3X9C6,[2022332] 대한민국과 영국 간의 자유무역협정 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C1Y8T1J2F2U7Q1K7W2A3S0G8P2K9A6,[2017816] 남북경제협력 특별위원회 활동기간 연장의 건(의장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C1G9L1M0D2H1V1Z5O2Z2Y5S5D1Z7P2,[2023119] 2018회계연도 결산 관련 감사원에 대한 감사요구안(예산결산특별위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C1T6B1L1E2J4T1K4W3L6T2G0Y3N5N6,[2003824] 학교체육선진화를 위한 촉구 결의안(안민석의원 등 15인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C1F9H0W4N2K5I0S9S5Q5Y5L1Y7Z1Z7,[2020000] 2019년도 무역보험기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C1I7D0G9M0G1N1V0V2Z0O1G7S6Y6I1,[2008921] 2018년도 예산안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C1Z6N0X6S0W9I1Y5L0O6P1M6I1D0U5,[2000158] 국회상임위원회 위원정수에 관한 규칙 개정 특별위원회 구성의 건(의장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2J0R0W3B0B3K1N5U4Q1S3I7C7S7L3,[2024902] 방조제 관리법 일부개정법률안(대안)(농림축산식품해양수산위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2L0D0D4A2R9H1S8S0P7T5W5Q1K6B5,[2024883] 성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(대안)(법제사법위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1E6X0Q7Q1T4O1M6J3A5D1E8O6J4Q7,[2000881] 대한민국과 이란이슬람공화국 간의 형사 공조 조약 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2Y0Z0Y5N1D4D1S8F1A9B2D8N7F0M8,[2024987] 부마민주항쟁 관련자의 명예회복 및 보상 등에 관한 법률 일부개정법률안(대안)(행정안전위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1F6W0Y7Q1F4Q1I6P1R6Y0Z7V0Y8D1,[2000872] 대한민국 정부와 퀘벡 정부 간의 사회보장에 관한 양해서 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1M6O0V8V2A4D1J8D2A6K1E4B4D7Q1,[2001793] 국제 올림픽 조직 위원회에 대한 故손기정 선수의 대한민국 국적 및 한글 이름 표기 촉구를 위한 결의안(김성태의원 등 46인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1L9Q0V4F2J5D1B0T0Z6F3A7F5N3O8,[2020011] 2019년도 국민체육진흥기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1R6C0V6O2T8O1S5A3U8B4Z5M8N6N0,[2000530] 대한민국과 아랍에미리트연합국 간의 범죄인 인도 조약 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1J6K0W6F3J0F1F5R4C4T2G3B4U0J6,[2000605] 2015회계연도 한국교육방송공사 결산 승인안(방송통신위원회)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1T8T0H9U0E3A1I0I1N4J0K2O7E0O9,[2015245] 2019년도 예산안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2N0W0Q5V1Q4J1P8U1E7U4S6A1Y1Y5,[2024988] 지방재정법 일부개정법률안(대안)(행정안전위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2E0K0I5F1H9X1C3I3A3Y2I7W8O9X2,[2024993] 진실·화해를 위한 과거사정리 기본법 일부개정법률안(대안)(행정안전위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2W0I0C3O0O4M1D1P4B7K5H1O6U8Q4,[2024661] 코로나19 확산 방지를 위한 종교집회 자제촉구 결의안(문화체육관광위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1Z9Q0F4S2N5X0U9Z5Y9U1J8D3X3C6,[2020007] 2019년도 근로복지진흥기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D1U7V0W5N3X1H0S9U5F5S4R5C2N5H5,[2007101] 2016회계연도 결산(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E1A6K1I0T0S4P1T9P1R3G0W8Z6V8G3,[2002572] 국군부대의 「국제연합 레바논 평화유지군(UNIFIL)」 파견연장 동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E1D8B1V2O2U8V1O1U3H9Q4M5K4Y7P6,[2017847] 대한민국과 키르기즈공화국 간의 범죄인 인도 조약 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E1H6C1A0N0L4V1S9A0M5K4O8S6F4S2,[2002571] 국군부대의 「국제연합 남수단 임무단(UNMISS)」 파견연장 동의안(정부)입법예고중
