url,bill_title
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2J2J0J4A2J9G1A2K3I8Z2W2M9D4D0,[2115456] 사법개혁 특별위원회 구성결의안(국회운영위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2P1D0N9H2W9D2H0H1J0W1M7H5K1X0,[2112744] 언론·미디어 제도개선 특별위원회 구성의 건(의장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2Q1H1U2H3N1V0X9V2P1V5J1B5V7X2,[2114227] 국회 2030 부산세계박람회 유치지원 특별위원회 구성의 건(의장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2M3I0Y5N1Y7A1K0U2L8M1B6J0Z4P2,[2122083] 국회의원의 가상자산 자진신고 및 조사에 관한 결의안(정무위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2R3E0N5D3R0M1L4K0G5W2M2O2Y0C5,[2122362] 의사일정 변경동의의 건(송기헌의원 등 167인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2R3E0T8F2W9C0G9B3Q8F4H1H7J3E0,[2124604] 국회세종의사당의 설치 및 운영 등에 관한 규칙안(국회운영위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2X0O0R6R0N8P1B5U2A0W3Z8F2J8J1,[2100265] 국회상임위원회 위원 정수에 관한 규칙 개정 특별위원회 구성의 건(의장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2V1E0B2B1T8T1R5I4G6V3Y2N1C3T3,[2108341] 지방대학 및 지역균형인재 육성에 관한 법률 일부개정법률안(대안)(교육위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2A3L1K1L1K0I0Q9P3O7P4N2V1U2S2,[2125542] 한-독 수교 140주년 기념 양국 관계 지속적 발전을 위한 특별 결의안(이상민의원 등 10인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2U1J0H5U3G1N1H3S3B9T0Y0X7M0G8,[2110474] 2020회계연도 결산(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2B0M0D6H0J4Q0L9I5Q2B1R3A7C4F3,[2100152] 2020년도 장애인고용촉진및직업재활기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2C3F0L1O1U2T1V4Q5D5S0N1Y5E4S2,[2119451] 대한민국 정부와 우즈베키스탄공화국 정부 간의 투자의 상호 증진 및 보호에 관한 협정 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2I0F0T6N0L4W0G9U4B5E2K1S9R3S7,[2100134] 2020년도 관광진흥개발기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2I0V0C6K0D4R0L9Q4E1K0J7O2X1A0,[2100124] 2020년도 복권기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2K2A0N2J1W0N1P0B2R4C1P8I9R0D0,[2114733] 오대산사고본 조선왕조실록과 의궤 제자리 찾기를 위한 국립조선왕조실록전시관 설립 촉구 결의안(대안)(문화체육관광위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2M0F0V6J0R4V0T9D4C0M2H1G0Y7K7,[2100122] 2020년도 농림수산업자신용보증기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2Q0E0Q6W0J4U0J9K4F6T0B5R1Z5W3,[2100136] 2020년도 농지관리기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2P3R1W1N0J9T1A4P1I4G0L3L6N9K3,[2125313] 의사일정 변경동의의 건(박주민의원 등 168인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2P1K1A0R0M1V1R4U5R3A0V2G6X6J5,[2112767] 역내포괄적경제동반자협정 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2T2L0B7Y2N1W1Y7D2H6V2N7S0U0H9,[2116599] 국제항로표지기구에 관한 협약 비준동의안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2W4M0Y5X2S8S1O7X4L7I3M8B3M1R0,[2126701] 의사일정 변경동의의 건(박성준의원 등 155인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2C2M0L5W2F0I1T8X0C6D0N7O1P0K5,[2115681] 의사일정 변경동의의 건(박홍근의원 등 167인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2D0I0P6O0X4E0H9E4V6C2C3X9G9L0,[2100137] 2020년도 축산발전기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2C1Z0S7F0Y2Z0W9S5Q1H3Z1M8M8K8,[2111292] 2021년도 산업재해보상보험및예방기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2L0Z1Y2I0L1U0I0V0T1Z0X7V7X5J1,[2105944] 소득세법 일부개정법률안(대안)(기획재정위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2J0E0H6B0H4K0V9W4Z2B1M5U1O6I0,[2100127] 2020년도 국유재산관리기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2S0C0X7A1N5Y1U4T2R4T5I1T5P9R8,[2101983] 일본 정부의 ‘후쿠시마 방사능 오염수’의 안전한 처리 및 국제적 동의 절차 확립 촉구를 위한 결의안(이원욱의원 등 11인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2T0O1K1V2L5K1G1Q1B5M5Q6K7F3B7,[2106054] 학교용지 확보 등에 관한 특례법 일부개정법률안(대안)(교육위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2T1E0I8E1J8L1K4Y1K6W2J7M6X8G2,[2112202] 국회법 일부개정법률안(대안)(국회운영위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2A2P0W8N1W1Z1U7P5Q4A4V9O4U7V8,[2117250] 워싱턴 추모의 벽 건립 기념과 이를 계기로 한 한미동맹 지속 발전 촉구 결의안(이헌승의원 등 55인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2F1R1Y2G0H1M2U1P3E0G2X6N6L7V1,[2113802] 국회청원심사규칙 일부개정규칙안(국회운영위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2H3O0U4T1T3G1X5F2J6P1X1J5J4O4,[2121341] 의사일정 변경동의의 건(진성준의원 등 169인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2G1L0O2S1A9B1B1S3B8M5A7P0L1R7,[2108394] 혈액관리법 일부개정법률안(대안)(보건복지위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2O1R0R6S2B9R0T8X3P1J3T5I4T1L9,[2111177] 일본 정부의 ‘후쿠시마 방사성 오염수’ 해양방출 결정 규탄 및 오염수의 안전성 확보를 위한 적극적인 대책 촉구 결의안(대안)(외교통일위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2K2M1J1B3R0X1H1G1N4Z0P0K6N4J3,[2119185] 고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안(대안)(환경노동위원장)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2N0T0T6K0N4K0W9P4D2N4S8J1U0A7,[2100128] 2020년도 정보통신진흥기금운용계획변경안(정부)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2O4R0S5L2F8D1N7D4K9Q5U0N8K8M2,[2126704] 의사일정 변경동의의 건(박성준의원 등 155인)입법예고중
http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2Y2P0J5N1N3U0P9U5Y3H0S1J9D1X0,[2115580] 2022년도 공무원연금기금운용계획변경안(정부)입법예고중
