age,title,bill_id,bill_number,content
20,2016년도 보건복지위원회 국정감사 관련 감사원에 대한 감사요구안,PRC_Z1W6T1Z1Z0M7W1A3Z5L8M1Z5R8G1E3,2003367,
20,대한민국과 아랍에미리트연합국 간의 소득에 대한 조세의 이중과세 방지와 탈세 및 조세회피의 예방을 위한 협약 비준동의안,PRC_F1E9I0D8O2Y0K1W4R2F1L4A3T8X7B0,2022032,
20,대한민국 정부와 모리셔스공화국 정부 간의 조세정보 교환에 관한 협정 비준동의안,PRC_Y1U6Y1R1T1Q7G1R6L0M1V1W6P7X1O0,2003679,
20,남북경제협력 특별위원회 구성결의안,PRC_K1Q8V0G7E2Y5G1J8G5A2V2I9G6W8C8,2014552,
20,대한민국과 키르기즈공화국 간의 형사 사법공조 조약 비준동의안,PRC_E1P8C1K2U2T8X1B1O1T3P0L1C3V8G9,2017842,
20,북한의 제5차 핵실험 규탄 및 핵폐기 촉구 결의안,PRC_G1G6T0T9A0O9Y1D4L4J8N3N9G0E4G3,2002269,
20,사법개혁 특별위원회 활동기간 연장의 건,PRC_R1T9Z0G6J2O8L1B3M4P9W4Z0Y5R4X1,2021194,
20,“2ㆍ28민주운동 기념일”의 국가기념일 지정 촉구 결의안,PRC_B1A6Z0K6X1M6O1O6N1D5S3P7Z8D6V6,2000291,
20,대한민국 정부와 영국령 버진제도 정부 간의 조세정보 교환에 관한 협정 비준동의안,PRC_S1H6J0Y6L2X8E1W5U3K4C4D1Y8B5H2,2000527,
20,"주한미군기지 이전, 축소, 철수 등에 따른 주한미군 한국인근로자 및 이직자에 대한 범정부적 지원 대책 수립 촉구 결의안",PRC_X1K7R0U9N2N8Z1E2D0K6U4Q1B8O1K1,2009710,
20,교섭단체 정책연구위원 임용 등에 관한 규칙 일부개정규칙안,PRC_L1L6L1R1K2L3M2A0I3N3I4X2E3S7A9,2004050,
20,대한민국과 유럽연합 간의 대한민국의 유럽연합 위기관리활동 참여를 위한 기본협정 비준동의안,PRC_H1U6A0D7I2U6Z1H6L1E2A3R1X3O3Y9,2001207,
20,윤리특별위원회 활동기간 연장의 건,PRC_S1N8Q1H2L2D7A1Q7D2M1Z1R9H5W6J1,2017814,
20,5ㆍ18 광주민주화운동 당시 계엄군의 헬기 총격 의혹 진상규명 촉구 결의안,PRC_K1G7C0G2P0L8D1Y3P5R1M5Y2W8O1F6,2005481,
20,농촌진흥법 일부개정법률안(대안),PRC_O2G0P0C3X0O3K1I5A4I0B2Q7N1D9C7,2024904,
20,대한민국 정부와 퀘벡 정부 간의 사회보장에 관한 양해서 비준동의안,PRC_D1F6W0Y7Q1F4Q1I6P1R6Y0Z7V0Y8D1,2000872,
20,공직자윤리법의 시행에 관한 국회규칙 일부개정규칙안,PRC_S1S7S1A1I1E3M1F0H1R1T4B3Y8E0U3,2010364,
20,국군부대의 「국제연합 레바논 평화유지군(UNIFIL)」 파견연장 동의안,PRC_H1X8L1S0C2T6J1C0U4Z4F4T0M4X4Q1,2016077,
20,미래일자리 특별위원회 활동기간 연장의 건,PRC_U1Z6P1N2N2W8W1W4O0Y7F4P2U7U4J4,2004734,
20,4차 산업혁명 특별위원회 구성결의안,PRC_Z1Y7Q1Q1P0U9R1M4S2L0P1E2F8G1D5,2010096,
20,2019년도 기금운용계획안,PRC_H1O8G0S9F0H3T1C0A1Z4I4L0W6V1W1,2015246,
20,교육용 전기요금 인하 촉구 결의안,PRC_A1G6G0N8P1F9E0L9O5H4J5F2H1Y6C1,2001794,
20,대한민국과 키르기즈공화국 간의 범죄인 인도 조약 비준동의안,PRC_E1D8B1V2O2U8V1O1U3H9Q4M5K4Y7P6,2017847,
20,재난 및 안전관리 기본법 일부개정법률안(대안),PRC_J2N0I0X5I1Y4H1C8B1K6H0E7E1X7Z8,2024990,
20,2017년도 환경노동위원회 국정감사 관련 감사원에 대한 감사요구안,PRC_B1J8U0U3O1G9B0M9C5Z2F5S1L4L6T7,2012608,
20,해외 건설인의 날 제정 촉구 결의안,PRC_Z1Q7U1Z1Y2W2S1I8P0R5D3J7B8I5W4,2010342,
20,2020년도에 발행하는 위기극복과고용을위한기간산업안정기금채권 원리금상환에 대한 국가보증동의안,PRC_E2X0E0A4O2Z7J0Q9T0Z7A5T5C4S1A2,2024868,
20,법률용어 정비를 위한 정보위원회 소관 2개 법률 일부개정을 위한 법률안,PRC_B1L9V0K9P2L3B1Q9B4P3X5D8H0Q8W8,2024994,
20,대한민국과 페루공화국 간의 사회보장에 관한 협정 비준동의안,PRC_F1X8V0U6I1W2X1L5X4P2Y5T8A4Y1H8,2013912,
20,2016년도 정무위원회 국정감사 결과에 따른 감사원에 대한 감사요구안,PRC_S1E7V0A2S2B8B1O0F2G1Y3T5E2S6N1,2005864,
20,2020 도쿄 하계올림픽대회 및 하계패럴림픽대회에서의 욱일기 경기장 내 반입금지 조치 촉구 결의안,PRC_Z1J9Q0V8W2X8D1U8E1D7I1B3N2H5G2,2022214,
20,가습기살균제 사고 진상규명과 피해규제 및 재발방지 대책마련을 위한 국정조사결과보고서 채택의 건,PRC_B1N6V1I2X2D9Y1R2N3P3I5Q4D2R5I7,2004703,
20,대한민국 정부와 인도공화국 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협정 비준동의안,PRC_H1W6O0P6A1I4P1R7P4C6T2U1L7O0W6,2000235,
20,대한민국 정부와 싱가포르공화국 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 및 조세회피 예방을 위한 협정 비준동의안,PRC_P1I9E0O8N2V0H1M4X3Y2M4X8T8N5R9,2022034,
20,코로나 바이러스 감염증 19 확산 방지와 종결을 위한 결의안,PRC_H2R0D0G3O1C1S1R7D5N9M4I5L4U6M7,2024806,
20,사법개혁 특별위원회 구성결의안,PRC_O1D8Y0Y7M2A5L1O8S5Z3V0C9Y3U2R1,2014554,
20,평창동계올림픽 및 국제경기대회지원 특별위원회 활동기간 연장의 건,PRC_G1B6Q1M2Q2Q8A1F4X1I2Q2R6G0E6B9,2004742,
20,국제 올림픽 조직 위원회에 대한 故손기정 선수의 대한민국 국적 및 한글 이름 표기 촉구를 위한 결의안,PRC_D1M6O0V8V2A4D1J8D2A6K1E4B4D7Q1,2001793,
20,대한민국과 아랍에미리트연합국 간의 형사 사법공조 조약 비준동의안,PRC_W1E6M0G6E2M8L1L5S3K7P2Q3T1Q3R5,2000529,
20,2015년 4월 13일 서울에서 서명된 대한민국 정부와 투르크메니스탄 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협약의 개정의정서 비준동의안,PRC_T1S9H0D8Q2U0Z1G4P3S9A0U2H9B3G3,2022039,
20,지방재정·분권 특별위원회 구성결의안,PRC_T1S6J0R7G0T5G1O8A0M1S4F2R2C9A0,2000693,
20,중ㆍ고등학교 역사교과서의 국정화 추진중단 및 폐기 촉구결의안,PRC_J1A6E1T1U1P5L1U8H4N3Q1H8J0K0Z7,2003605,
20,2018년도 무역보험계약체결한도에 대한 동의안,PRC_T1X7Z0H9J0L1P1E8J1Q5N0O8F6G6G8,2009009,
20,한국교육방송공사 출판유통구조 관련 감사원에 대한 감사요구안,PRC_K1H8W0F2G0I9P1F1Y4Z6X3I9Z6B9K1,2012081,
20,소규모 공공시설 안전관리 등에 관한 법률 일부개정법률안(대안),PRC_N2C0M0Y5V1C4R1P8Q1D3W4E8Z9O8E4,2024981,
